Ref,Val,Package,PosX,PosY,Rot,Side
"R33","1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",136.194800,-111.607600,90.000000,top
"R34","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",134.493000,-99.314000,0.000000,top
"R35","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",134.569200,-102.717600,180.000000,top
"R36","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",138.176000,-91.694000,-90.000000,top
"R37","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",121.353000,-144.964000,180.000000,top
"R38","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",145.203000,-143.464000,90.000000,top
"R39","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",141.603000,-103.964000,0.000000,top
"R40","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",141.603000,-106.164000,180.000000,top
"R41","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",163.063000,-103.014000,0.000000,top
"R42","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",151.403000,-105.064000,0.000000,top
"R43","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",156.003000,-105.064000,180.000000,top
"R44","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",155.078000,-132.274000,-90.000000,top
"R45","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",163.033000,-82.024000,-90.000000,top
"R46","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",165.983000,-82.024000,-90.000000,top
"R47","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",168.933000,-82.024000,-90.000000,top
"R48","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",190.100000,-118.050000,0.000000,top
"R49","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",171.400000,-102.650000,-90.000000,top
"SW2","BOOTSEL","SW_PUSH_6mm",164.938000,-140.369000,0.000000,top
"SW3","RESET","SW_PUSH_6mm",175.658000,-140.369000,0.000000,top
"SW4","USER_A","SW_PUSH_6mm",125.453000,-140.214000,0.000000,top
"SW5","USER_B_PWR","SW_PUSH_6mm",135.853000,-140.214000,0.000000,top
"SW6","SW_SPDT","SW_E-Switch_EG1271_SPDT",109.603000,-63.071500,90.000000,top
"U2","MCP73831-2-OT","SOT-23-5",144.912500,-93.264000,0.000000,top
"U3","BQ29700DSER","WSON-6_1.5x1.5mm_P0.5mm",118.659000,-73.401000,-90.000000,top
"U4","TLV62568DBVR","SOT-23-5",119.888000,-91.440000,-90.000000,top
"U5","W25Q128JVS","SOIC-8_5.3x5.3mm_P1.27mm",123.903000,-130.464000,180.000000,top
"U6","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",132.903000,-119.864000,90.000000,top
"U7","PCF8523T","SOIC-8_3.9x4.9mm_P1.27mm",158.408000,-98.239000,-90.000000,top
"U8","FJ2481CH","7-Seg-CC28-FJ2481CH",170.653000,-64.001000,0.000000,top
"U9","FJ2481CH","7-Seg-CC28-FJ2481CH",170.653000,-75.525000,0.000000,top
"U10","TM1638","SOIC127P1041X265-28N",181.448000,-96.264000,90.000000,top
"Y1","ABM8-272-T3","XTAL_ABM8-272-T3",148.003000,-120.326500,0.000000,top
"Y2","ABS07AIG-32.768KHZ-7-T","Crystal_SMD_3215-2Pin_3.2x1.5mm",159.913000,-92.714000,180.000000,top
